2026-07-07 20:25:03,049 | INFO | bright-assistant | Received message: Testing logging!
2026-07-07 20:25:03,049 | INFO | bright-assistant | Response generated successfully.
2026-07-07 20:57:33,566 | INFO | bright-assistant | Received message: Who are you?
2026-07-07 20:57:33,567 | INFO | bright-assistant | AI response generated.
2026-07-07 21:30:43,289 | INFO | bright-assistant | Received message: Who are you?
2026-07-07 21:30:47,025 | INFO | bright-assistant | AI response generated.
2026-07-07 21:43:58,679 | INFO | bright-assistant | Received message: Who are you?
2026-07-07 21:44:02,341 | INFO | bright-assistant | AI response generated.
2026-07-07 23:55:44,051 | INFO | bright-assistant | Received message: Who are you?
2026-07-07 23:56:09,596 | INFO | bright-assistant | Received message: who are you?
2026-07-07 23:56:11,187 | INFO | bright-assistant | Received message: who are you?
2026-07-07 23:56:36,937 | INFO | bright-assistant | Received message: string
2026-07-07 23:56:38,003 | INFO | bright-assistant | Received message: string
2026-07-08 00:10:28,139 | INFO | bright-assistant | Received message: who are you?
2026-07-08 00:10:29,050 | INFO | bright-assistant | Received message: who are you?
2026-07-08 00:10:29,769 | INFO | bright-assistant | Received message: who are you?
2026-07-08 00:13:48,834 | INFO | bright-assistant | Received message: Hello Bright, this is a memory test.
2026-07-08 00:13:49,936 | INFO | bright-assistant | Received message: Hello Bright, this is a memory test.
2026-07-08 00:32:32,459 | INFO | bright-assistant | Received message: Who are you?
2026-07-08 00:47:26,658 | INFO | bright-assistant | Received message: Who are you?
2026-07-08 00:47:26,660 | INFO | bright-assistant | User message saved to memory.
2026-07-08 00:54:26,852 | INFO | bright-assistant | Received message: Who are you?
2026-07-08 00:54:26,854 | INFO | bright-assistant | User message saved to memory.
2026-07-08 00:54:26,854 | INFO | bright-assistant | System prompt loaded.
2026-07-08 00:54:30,278 | INFO | bright-assistant | AI response generated.
2026-07-08 00:54:30,286 | INFO | bright-assistant | Assistant response saved to memory.
2026-07-08 00:54:57,192 | INFO | bright-assistant | Received message: What is your duty?
2026-07-08 00:54:57,202 | INFO | bright-assistant | User message saved to memory.
2026-07-08 00:54:57,202 | INFO | bright-assistant | System prompt loaded.
2026-07-08 00:54:58,578 | INFO | bright-assistant | AI response generated.
2026-07-08 00:54:58,585 | INFO | bright-assistant | Assistant response saved to memory.
